participant_id	age	sex
sub-239944	31	F
sub-160123	31	M
sub-147737	31	F
sub-105014	26	F
sub-140925	22	F
sub-654754	31	F
sub-151627	26	F
sub-103111	26	M
sub-856766	31	F
sub-108828	31	M
sub-149539	22	M
sub-115320	31	F
sub-201111	26	M
sub-130013	26	M
sub-366446	22	M
sub-751348	26	M
sub-139637	31	F
sub-122620	26	M
sub-178950	31	M
sub-113922	31	M
sub-130316	26	F
sub-151526	26	M
sub-163129	26	M
sub-148840	22	F
sub-199655	31	M
sub-123925	26	F
sub-212318	31	F
sub-245333	31	F
sub-156637	31	M
sub-899885	26	F
